Timestamp,gender,age,district,city,education,employed,field,income ,application_user,saves_my_time,User_Interface,network_connectivity,information_security,compare_to_visiting_banks,aware_of_all_services,comments
2020/10/30 11:27:17 pm GMT+5:30,Female,18 - 25,Gampaha,KELANIYA ,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Agree,Agree,Neutral,Agree,Agree,Disagree,
2020/10/31 8:41:07 am GMT+5:30,Female,26 - 35,Kurunegala,Kuliyapitiya,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Agree,Agree,Agree,Agree,Strongly Agree,Agree,
2020/10/31 9:14:38 am GMT+5:30,Female,26 - 35,Gampaha,Kalagedihena,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Agree,Neutral,Neutral,Neutral,Agree,Neutral,
2020/10/31 9:22:09 am GMT+5:30,Male,18 - 25,Gampaha,Negombo,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,
2020/10/31 10:13:33 am GMT+5:30,Female,26 - 35,Colombo,Pannipitiya,Bachelor's degree or equivalent,Yes,Other,"101,000 - 150,000",Yes,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,
2020/10/31 10:13:44 am GMT+5:30,Male,18 - 25,Colombo,Piliyandala,Diploma or equivalent,No,Other,"Less than 50,000",Yes,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,
2020/10/31 10:37:02 am GMT+5:30,Female,18 - 25,Matara,Matara,Bachelor's degree or equivalent,Yes,Architecture and engineering,"101,000 - 150,000",Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,
2020/10/31 10:59:35 am GMT+5:30,Male,26 - 35,Gampaha,Kadawatha,Bachelor's degree or equivalent,Yes,Science and technology,"151,000 - 200,000",Yes,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,
2020/10/31 11:03:01 am GMT+5:30,Male,26 - 35,Kandy,Peradeniya,Bachelor's degree or equivalent,Yes,Other,"101,000 - 150,000",Yes,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,
2020/10/31 11:03:15 am GMT+5:30,Female,26 - 35,Gampaha,Ja Ela,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2020/10/31 11:06:06 am GMT+5:30,Male,26 - 35,Colombo,Battaramulla ,Bachelor's degree or equivalent,Yes,"Business, management and administration","101,000 - 150,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,
2020/10/31 11:23:19 am GMT+5:30,Male,26 - 35,Gampaha,JaEla,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,
2020/10/31 12:50:39 pm GMT+5:30,Male,18 - 25,Colombo,Ratmalana,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2020/10/31 12:50:42 pm GMT+5:30,Male,26 - 35,Colombo,Piliyandala,Bachelor's degree or equivalent,Yes,Science and technology,"Less than 50,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2020/10/31 1:18:42 pm GMT+5:30,Male,18 - 25,Colombo,Dehiwala,Bachelor's degree or equivalent,Yes,Other,"50,000 - 100,000",Yes,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,
2020/10/31 1:27:46 pm GMT+5:30,Male,26 - 35,Colombo,Homagama,Bachelor's degree or equivalent,No,Science and technology,"Less than 50,000",Yes,Neutral,Agree,Disagree,Neutral,Disagree,Agree,
2020/10/31 2:06:34 pm GMT+5:30,Male,26 - 35,Colombo,Malabe,Bachelor's degree or equivalent,Yes,Architecture and engineering,"Above 200,000",Yes,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,
2020/10/31 2:25:25 pm GMT+5:30,Female,18 - 25,Colombo,Moratuwa,Bachelor's degree or equivalent,Yes,Science and technology,"Above 200,000",Yes,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,
2020/10/31 2:54:54 pm GMT+5:30,Female,26 - 35,Kalutara,Aluthgama ,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,
